2657~135~2~2013-11-22 00:00:00.0
2658~142~2~2013-11-22 00:00:00.0
2659~142~1~2013-11-22 00:00:00.0
2660~140~2~2013-11-22 00:00:00.0
2661~140~1~2013-11-22 00:00:00.0
2662~1354~2~2013-11-22 00:00:00.0
2663~1356~2~2013-11-22 00:00:00.0
2664~1353~2~2013-11-22 00:00:00.0
2665~1351~2~2013-11-22 00:00:00.0
2667~1357~2~2013-11-22 00:00:00.0
2668~1357~2~2013-11-22 00:00:00.0
2669~1351~2~2013-11-22 00:00:00.0
2670~1351~1~2013-11-22 00:00:00.0
2671~1352~2~2013-11-22 00:00:00.0
2672~1349~2~2013-11-22 00:00:00.0
2673~1357~2~2013-11-22 00:00:00.0
2674~1342~2~2013-11-22 00:00:00.0
2675~1340~2~2013-11-22 00:00:00.0
2676~1321~2~2013-11-22 00:00:00.0
2677~1314~2~2013-11-22 00:00:00.0
2678~1317~2~2013-11-22 00:00:00.0
2679~1312~2~2013-11-22 00:00:00.0
2680~1309~2~2013-11-22 00:00:00.0
2681~1315~2~2013-11-22 00:00:00.0
2682~1302~3~2013-11-22 00:00:00.0
2683~1289~2~2013-11-22 00:00:00.0
2684~1287~2~2013-11-22 00:00:00.0
2685~1296~2~2013-11-22 00:00:00.0
2686~1300~2~2013-11-22 00:00:00.0
2687~1285~2~2013-11-22 00:00:00.0
2688~1282~3~2013-11-22 00:00:00.0
2689~1283~2~2013-11-22 00:00:00.0
2690~1279~3~2013-11-22 00:00:00.0
2691~1280~2~2013-11-22 00:00:00.0
2692~123~2~2013-11-22 00:00:00.0
2693~122~2~2013-11-22 00:00:00.0
2694~1359~2~2013-11-22 00:00:00.0
2695~1360~2~2013-11-22 00:00:00.0
2696~1361~2~2013-11-22 00:00:00.0
2697~25~1~2013-11-22 00:00:00.0
2698~1360~2~2013-11-22 00:00:00.0
2699~1361~2~2013-11-22 00:00:00.0
2700~68~2~2013-11-22 00:00:00.0
2701~93~1~2013-11-22 00:00:00.0
2702~1360~16~2013-11-22 00:00:00.0
2703~1240~2~2013-11-22 00:00:00.0
